"","date","SPY","AAPL","MSFT","GOOG","GS","AMZN","WMT","JPM","BAC","JNJ","BA","TLT","LQD"
"2005-04-21",1,85.711739,4.610536,18.347712,101.728699,87.150589,33.73,34.20496,23.534088,32.22797,44.298248,41.231483,54.994171,58.509087
"2005-04-22",2,85.386673,4.402208,18.129971,107.502052,86.593742,33.040001,33.510551,23.419914,32.213448,44.427982,40.394028,55.454914,58.786419
"2005-04-25",3,85.948166,4.585736,18.13723,111.347641,87.881905,33.529999,33.660885,23.621405,32.547417,44.460415,41.580448,55.618587,58.930313
"2005-04-26",4,85.113281,4.487771,17.970299,108.966568,87.865295,32.709999,33.646561,23.560959,32.387699,44.123104,41.175659,55.53376,58.834393
"2005-04-27",5,85.445778,4.458008,18.13723,109.479645,89.560814,31.719999,33.854172,23.843054,32.576462,44.324203,41.636261,55.727737,59.122398
"2005-04-28",6,84.374458,4.407166,17.745308,109.315262,88.289177,32.52,33.682358,23.52066,32.445789,43.889595,40.980251,56.140007,59.367729
"2005-04-29",7,85.519661,4.471652,18.362215,109.589233,88.754608,32.360001,33.746788,23.836332,32.699879,44.518803,41.538559,56.042961,59.1544
"2005-05-02",8,85.999893,4.517531,18.311419,110.729958,86.818123,33.099998,34.219296,23.890057,32.917686,44.616108,41.440861,56.030823,59.174744
"2005-05-03",9,86.147636,4.490252,18.405764,112.672676,86.743317,33.209999,34.648808,23.843054,32.932213,44.583675,41.782814,56.18293,59.206825
"2005-05-04",10,86.812592,4.606816,18.2969,113.823364,88.322418,33.959999,34.684597,24.246021,33.375084,44.252846,42.068951,55.690125,59.07299
"2005-05-05",11,86.783035,4.548534,18.311419,113.0662,87.51622,33.959999,34.770508,24.111689,33.287952,44.440968,41.692108,55.817833,59.158634
"2005-05-06",12,86.509674,4.617978,18.304157,113.584259,87.000961,34.52,35.049706,23.916925,33.026588,44.246353,42.578423,55.404163,58.837448
"2005-05-09",13,87.049026,4.584496,18.224316,112.58799,87.682472,34.639999,35.257313,24.151999,33.200844,44.220417,42.264366,55.458927,58.633987
"2005-05-10",14,86.147636,4.516292,18.071909,113.47467,84.864998,34.23,34.877876,23.60125,32.946732,43.93499,42.599358,55.854393,58.623245
"2005-05-11",15,86.620506,4.415847,18.079165,115.21315,86.22802,33.82,34.791981,23.708715,33.150017,44.07769,42.32605,56.024761,58.676876
"2005-05-12",16,85.667397,4.232319,18.144489,113.932953,83.294205,33.849998,34.111897,23.393047,32.917686,43.883099,42.389133,56.243767,58.489464
"2005-05-13",17,85.497475,4.311685,18.362215,114.191978,81.299492,33.900002,33.739628,23.144543,32.765217,43.739697,41.695366,56.462803,58.816029
"2005-05-16",18,86.295425,4.408409,18.558802,115.093597,81.798195,34.540001,33.804058,23.332607,33.287952,44.091694,42.333073,56.395889,58.724983
"2005-05-17",19,86.871719,4.384846,18.536961,116.129715,81.740021,34.73,33.646561,23.648268,33.498508,44.267685,42.683445,56.554085,58.757137
"2005-05-18",20,87.765678,4.444369,18.711699,119.133461,82.762276,35.330002,34.170837,24.212439,33.868774,44.065609,43.230042,56.931293,58.965935
"2005-05-19",21,88.135094,4.656419,18.871866,119.143425,83.211075,35.59,34.120567,24.306473,33.723568,43.941765,42.991791,56.785282,58.88026
"2005-05-20",22,88.009499,4.656419,18.74082,120.353882,84.008949,35.5,33.88356,24.21917,33.810684,43.804863,43.377216,56.85223,58.864193
"2005-05-23",23,88.497116,4.930471,18.820913,127.248047,83.684807,35.68,34.36475,24.118414,33.796169,43.843975,43.194996,57.296402,59.11047
"2005-05-24",24,88.290276,4.923032,18.748095,127.522018,82.762276,35.540001,34.221119,24.104982,33.839737,44.065609,43.622475,57.454571,59.238945
"2005-05-25",25,88.22377,4.932953,18.718981,129.91803,80.82579,35.25,33.969746,24.118414,33.788914,43.980869,43.061859,57.052998,59.233662
"2005-05-26",26,88.696609,5.051999,18.857315,129.116043,80.285561,35.450001,33.97694,24.138561,33.912323,43.94828,44.141033,57.03474,59.271053
"2005-05-27",27,88.84436,5.029676,18.981087,132.503342,79.371315,35.5,33.948212,24.044533,33.868774,43.954796,44.162067,57.095592,59.265766
"2005-05-31",28,88.27549,4.930471,18.78451,138.11731,81.033585,35.509998,33.919479,24.010963,33.629177,43.739697,44.778732,57.801365,59.522709
"2005-06-01",29,89.029091,4.997433,18.791792,143.462265,81.981041,36.5,34.415012,24.017662,33.937103,43.876579,44.708641,58.509129,59.931675
"2005-06-02",30,89.221184,4.965194,18.777224,143.41246,81.174843,36.41,34.630463,24.004238,33.856449,43.674507,45.115086,58.649582,60.162796
"2005-06-03",31,88.770515,4.741983,18.515114,139.60672,80.86734,35.59,34.005657,23.876623,33.563202,43.309467,45.311302,58.167171,59.845734
"2005-06-06",32,88.68924,4.702301,18.471432,144.926773,81.798195,35.77,34.278561,23.84976,33.65118,43.270355,45.93499,58.472576,60.01236
"2005-06-07",33,88.755722,4.531172,18.57336,146.012711,81.78157,35.349998,34.300106,23.829599,33.621845,43.37466,45.745785,58.936607,60.135921
"2005-06-08",34,88.59317,4.578296,18.493275,139.258026,81.740021,34.830002,34.163651,23.957218,33.658512,43.25732,45.178162,58.655727,60.01236
"2005-06-09",35,89.01429,4.668819,18.57336,142.620422,83.069786,35.200001,34.343197,23.843054,33.790474,43.498493,45.626659,58.606903,59.899464
"2005-06-10",36,88.807434,4.440647,18.515114,140.722534,82.321808,34.950001,34.458103,23.79603,33.724495,43.335541,45.304298,57.94735,59.630791
"2005-06-13",37,89.088203,4.451809,18.427744,140.847076,82.496346,34.869999,34.67355,23.843054,33.66584,43.329018,45.290279,57.599266,59.491001
"2005-06-14",38,89.29509,4.46421,18.464148,138.655289,81.698441,35.040001,35.679001,23.910215,33.702499,43.400711,44.098984,57.220623,59.426502
"2005-06-15",39,89.465004,4.604337,18.39134,136.886917,82.438141,35.240002,35.801098,23.984093,34.164371,43.250793,45.136124,57.324444,59.313644
"2005-06-16",40,89.694046,4.709742,18.231159,138.201981,85.313782,35.580002,35.442017,24.111689,34.039738,43.218201,44.631573,57.611416,59.372768
"2005-06-17",41,90.02636,4.750663,18.231159,139.626648,86.269592,35.310001,35.140373,24.232603,34.193703,43.387676,45.283279,57.605392,59.362011
"2005-06-20",42,90.056038,4.663858,18.282125,142.814697,85.812469,35.689999,35.090099,24.212439,34.245033,43.381153,44.61755,57.507633,59.292168
"2005-06-21",43,90.107979,4.694861,18.311253,143.382568,85.305458,35.380001,34.853104,24.205725,34.516285,43.368118,43.993866,57.929001,59.491001
"2005-06-22",44,90.182167,4.780424,18.253004,144.109848,85.164207,35.220001,35.039829,24.353489,34.508961,43.022648,44.23914,58.631283,59.915588
"2005-06-23",45,88.913666,4.822587,18.427744,144.314072,84.790199,35.43,34.386288,24.131851,34.164371,42.598934,43.349163,58.570244,59.953236
"2005-06-24",46,88.260857,4.68246,18.231159,148.069992,86.161545,35.02,34.020035,23.890057,34.274349,42.748863,42.459198,58.863373,60.103703
"2005-06-27",47,88.386925,4.600616,18.238441,151.482208,85.770897,34.5,34.127743,23.903496,34.017735,42.794495,43.279102,59.022144,60.189686
"2005-06-28",48,89.128799,4.626657,18.253004,150.436127,86.402542,33.709999,34.781284,24.12513,34.215691,43.068272,43.762627,58.619083,60.001595
"2005-06-29",49,88.891365,4.510091,18.267567,145.813461,85.43013,33.349998,34.860302,24.151999,34.391647,42.827091,43.216034,58.527485,60.033833
"2005-06-30",50,88.409203,4.564655,18.085545,146.525787,84.790199,33.09,34.616116,23.722153,33.438568,42.370789,46.25034,59.052658,60.248798
"2005-07-01",51,88.668846,4.526213,17.990896,145.081207,85.363655,32.91,34.67355,23.776403,32.976685,42.338192,45.325325,58.336914,59.972042
"2005-07-05",52,89.380997,4.709742,18.187477,147.302872,85.754303,34.080002,35.765175,23.715372,33.071991,42.272999,45.84388,57.785431,59.777821
"2005-07-06",53,88.63176,4.636579,17.983618,145.215698,86.06179,34.060001,35.463551,23.464451,32.7714,41.816704,45.052006,58.104088,59.907314
"2005-07-07",54,88.980415,4.666339,17.947216,147.218185,86.518913,33.959999,35.556919,23.369505,32.756744,41.666782,45.675694,58.226646,60.063766
"2005-07-08",55,89.996712,4.743222,18.267567,147.561905,87.807106,34.740002,35.837006,23.606861,33.101326,41.901432,45.598618,57.987625,59.945095
"2005-07-11",56,90.456635,4.724621,18.413189,146.127274,89.18676,35.59,35.765175,23.708586,33.11599,42.233906,45.528538,57.987625,59.615963
"2005-07-12",57,90.693993,4.741983,18.64617,145.345215,89.128601,36.310001,35.973465,23.905251,33.218624,42.227375,45.059032,57.662918,59.481087
"2005-07-13",58,90.820107,4.755624,18.682575,148.871994,89.760262,36.509998,36.009373,24.068014,33.541199,41.992702,45.255253,57.577053,59.615963
"2005-07-14",59,91.176178,5.053238,18.908279,149.883194,90.217369,37.189999,36.275097,24.203648,33.585197,42.11005,45.255253,57.430008,59.669907
"2005-07-15",60,91.124245,5.152442,18.777224,150.032639,90.175812,37.150002,36.088364,24.318935,33.709824,42.390347,45.374374,57.583229,59.696915
"2005-07-18",61,90.760788,5.145001,18.60248,149.210724,89.959717,37.189999,35.901642,24.081577,33.050011,42.11005,45.367367,57.154247,59.648357
"2005-07-19",62,91.257759,5.355813,19.046616,154.371384,91.189774,38.169998,35.736458,23.878128,32.859398,42.383816,45.472485,57.356491,59.696915
"2005-07-20",63,91.569344,5.410375,19.068459,155.41745,91.09832,38.169998,35.908836,23.844219,32.888706,42.344711,46.306385,57.668987,59.76165
"2005-07-21",64,91.035225,5.368212,19.250475,156.383835,89.968048,37.950001,35.470734,24.006981,32.698086,41.705891,46.047104,56.884655,59.454144
"2005-07-22",65,91.643509,5.456257,18.697138,150.635376,90.909355,37.950001,35.578457,24.14262,32.881382,41.927528,46.390488,57.325825,59.729286
"2005-07-25",66,91.383881,5.432696,18.704416,147.372604,90.234596,37.950001,35.513832,24.034105,32.742085,41.288689,46.28537,57.117493,59.723843
"2005-07-26",67,91.495171,5.410375,18.595203,147.492157,89.73481,37.740002,35.571281,23.986637,32.646774,40.851952,46.495598,57.209442,59.734634
"2005-07-27",68,91.828979,5.455016,18.726252,147.910599,90.926041,43.650002,35.765175,23.973072,32.368191,42.07093,46.74086,57.117493,59.65913
"2005-07-28",69,92.407585,5.431456,18.748095,146.201996,91.3592,45.68,35.779537,24.047665,32.265545,42.194778,46.25034,57.626091,59.885727
"2005-07-29",70,91.791855,5.288849,18.64617,143.342712,89.534836,45.150002,35.442017,23.830652,31.964956,41.69286,46.257347,57.056198,59.750835
"2005-08-01",71,91.725143,5.301249,18.871866,145.260529,89.234955,44.93,35.571281,23.939161,32.008934,42.044853,46.07513,56.844048,59.60894
"2005-08-02",72,92.274055,5.355813,19.519865,149.036377,91.234261,46.509998,35.765175,24.108698,32.214233,42.129589,46.481579,56.659512,59.500561
"2005-08-03",73,92.518852,5.359534,19.840225,148.09491,92.358826,46.110001,35.679001,24.149393,32.096928,42.28603,46.705814,56.936234,59.641434
"2005-08-04",74,91.777061,5.29629,19.891188,148.309097,91.009338,45.459999,35.398922,24.047665,32.045601,41.816704,46.439526,56.819393,59.641434
"2005-08-05",75,91.153893,5.33101,20.211548,145.62915,91.384186,45.27,35.420464,23.905251,31.708355,41.419071,46.383469,56.376564,59.538494
"2005-08-08",76,90.983292,5.288849,19.752855,145.081207,91.559135,45.66,35.29837,23.728935,31.481073,41.353874,46.24332,56.272026,59.267689
"2005-08-09",77,91.532227,5.433936,19.913038,145.240601,92.866989,45.93,35.348648,23.756056,31.451754,41.731976,47.042183,56.481152,59.365158
"2005-08-10",78,91.487747,5.379374,19.621801,142.306595,93.325172,44.759998,35.075733,23.600084,31.341793,41.621147,46.395084,56.419609,59.413864
"2005-08-11",79,91.851212,5.456257,19.854786,141.494644,95.082848,45.209999,35.154743,23.606861,31.371101,41.920994,47.344631,56.813236,59.59811
"2005-08-12",80,91.287445,5.716669,19.694605,144.319061,94.674706,44.200001,34.975197,23.267782,31.297789,41.432114,46.80304,57.391384,59.885201
"2005-08-15",81,91.851212,5.912597,19.811443,141.469742,95.524384,45.040001,35.262478,23.49836,31.657053,41.295212,47.450146,57.243793,59.798508
"2005-08-16",82,90.656898,5.735269,19.526653,142.291656,93.366791,44.27,34.163651,23.450878,32.052937,41.073582,46.613113,57.643589,59.955593
"2005-08-17",83,90.649498,5.846876,19.680004,142.017685,92.575417,44.119999,33.940315,23.369505,32.060249,41.392998,47.140663,57.26228,59.798508
"2005-08-18",84,90.642105,5.741471,19.58507,139.472229,92.342171,43.73,34.033978,23.50514,32.111576,41.881889,46.866333,57.686626,59.966434
"2005-08-19",85,90.849792,5.683188,19.512041,139.477203,92.692062,43.720001,33.558479,23.423756,31.979614,41.652565,47.232098,57.680527,59.912239
"2005-08-22",86,90.849792,5.688147,19.650797,136.493393,93.050278,43.77,33.623318,23.403408,32.067596,41.606697,47.682259,57.619026,59.885201
"2005-08-23",87,90.679169,5.672027,19.621584,139.26799,93.133591,43.419998,33.385571,23.294914,31.774332,41.121838,47.429054,57.883442,59.933937
"2005-08-24",88,89.87059,5.675746,19.577766,140.757401,91.625778,42.369999,32.81641,22.955822,31.459087,40.787666,47.218037,57.938824,59.912239
"2005-08-25",89,90.196983,5.71171,19.738426,140.767365,92.050621,42.310001,32.629112,23.138931,31.576393,40.971138,47.274307,58.123356,60.026043
"2005-08-26",90,89.581276,5.672027,19.694611,141.260513,91.42585,42.369999,32.924488,22.820189,31.407768,40.584549,46.641251,58.104885,60.123539
"2005-08-29",91,90.271172,5.684428,19.826048,143.686432,91.759048,42.790001,32.888458,22.996519,31.789011,41.285641,47.53455,58.178699,60.128952
"2005-08-30",92,89.79641,5.774951,19.847956,143.098633,91.500801,42.490002,32.557045,22.772722,31.598373,41.279079,46.943726,58.547752,60.22644
"2005-08-31",93,90.931374,5.814632,19.994001,142.466003,92.617065,42.700001,32.391361,22.982948,31.917322,41.534626,47.140663,59.039818,60.648972
"2005-09-01",94,90.864601,5.73651,19.86257,142.59053,94.233154,41.84,32.42017,23.098236,31.969242,41.364262,46.416183,58.684254,60.477707
"2005-09-02",95,90.701424,5.731551,19.731119,143.686432,94.308151,41.509998,32.095982,23.132149,31.828329,41.213566,45.255592,58.733646,60.493961
"2005-09-06",96,91.762192,6.051484,19.716515,143.018936,95.457733,43.619999,32.917282,23.444103,32.154694,41.796711,45.740936,58.320145,60.368889
"2005-09-07",97,91.917999,6.036603,19.606977,146.884445,95.724335,43.73,33.039753,23.661118,32.125019,42.458485,45.368137,57.770813,60.151325
"2005-09-08",98,91.613876,6.173009,19.431717,147.143463,95.932571,42.959999,33.039753,23.491577,31.917322,41.999825,45.43145,57.832497,60.167622
"2005-09-09",99,92.429855,6.362739,19.409811,148.986557,96.773964,42.950001,33.061367,23.613653,31.857998,42.412632,46.001186,58.017719,60.194859
"2005-09-12",100,92.244377,6.3739,19.431717,154.291672,98.298431,44.5,33.061367,23.444103,31.672552,42.379868,45.818314,57.616497,60.042515
"2005-09-13",101,91.732529,6.301977,19.336784,155.258057,97.631973,43.93,32.4706,23.159281,31.642889,41.967075,46.001186,57.918911,60.145878
"2005-09-14",102,91.398743,6.151929,19.212641,150.934265,96.549034,43.099998,32.204044,23.220303,31.628048,42.130878,45.143059,57.696739,59.998985
"2005-09-15",103,91.354202,6.18417,19.183439,150.744965,96.590675,42.709999,31.930269,23.145716,31.694811,42.176739,45.776108,57.221508,59.786892
"2005-09-16",104,92.003822,6.350339,19.037392,149.53949,98.631622,42.799999,31.606075,23.728935,32.399464,42.707478,45.579155,56.844975,59.623722
"2005-09-19",105,91.69838,6.527668,18.986271,151.327789,98.531677,42.75,31.706913,23.457663,32.184357,42.360203,45.086777,56.968433,59.786892
"2005-09-20",106,90.923622,6.59587,18.869436,153.380096,98.340034,41.869999,31.130566,23.416975,31.895079,42.196407,44.629585,57.116547,59.694443
"2005-09-21",107,90.074348,6.461944,18.613848,155.367645,96.365746,41.25,30.611858,23.064337,31.346178,42.392956,43.898075,57.647388,59.960907
"2005-09-22",108,90.394676,6.435903,18.504316,155.103638,98.714912,42.080002,31.116152,23.227085,31.294262,42.379868,43.968418,57.591827,59.928295
"2005-09-23",109,90.469193,6.59711,18.453196,157.091187,99.522942,42.189999,31.123352,23.105017,31.323935,41.927757,44.453739,57.159748,59.754284
"2005-09-26",110,90.573502,6.676475,18.453196,156.553207,99.96447,43.34,31.058516,23.003304,31.153347,41.849125,45.487713,56.900539,59.563869
"2005-09-27",111,90.551117,6.626871,18.504316,156.383835,99.68956,43.16,31.051317,22.976173,31.094,41.573929,46.810078,56.980793,59.618275
"2005-09-28",112,90.640533,6.334218,18.745293,152.428665,100.047806,43.369999,31.072931,23.003304,30.85664,41.416687,47.274307,57.363499,59.743359
"2005-09-29",113,91.378059,6.490466,18.942459,154.231903,100.980782,44.790001,31.368324,23.294914,31.227522,41.770504,47.323536,57.104229,59.721642
"2005-09-30",114,91.661148,6.647953,18.789103,157.63913,101.280663,45.299999,31.570049,23.010078,31.227522,41.462555,47.794827,56.906666,59.520363
"2005-10-03",115,91.333351,6.750879,18.621149,158.74498,101.338989,46.009998,31.526808,23.138931,31.190426,41.003899,47.225052,56.461811,59.337967
"2005-10-04",116,90.305305,6.665313,18.241425,154.919327,99.064804,44.93,31.591654,23.015629,31.086588,41.31184,47.794827,56.647705,59.414429
"2005-10-05",117,89.120796,6.545027,18.015057,154.774872,98.090126,44.490002,31.339504,22.912886,31.123663,40.787666,47.161774,56.895607,59.496334
"2005-10-06",118,88.800453,6.4111,18.058867,155.791061,97.407066,44.009998,31.649296,23.05673,31.323935,40.342102,47.780731,56.678677,59.365314
"2005-10-07",119,89.105911,6.361499,17.956631,155.910614,97.940201,43.720001,31.721342,23.221136,31.353607,40.191406,47.337601,56.907974,59.463554
"2005-10-10",120,88.353493,6.246173,17.8617,154.74498,98.723267,43.759998,32.088764,22.960835,31.220087,40.276588,47.759636,56.87077,59.425369
"2005-10-11",121,88.226807,6.397461,17.825193,152.47847,97.923553,43.400002,32.434586,22.816992,31.064327,40.158649,46.915592,56.753048,59.327049
"2005-10-12",122,87.533997,6.107288,17.744864,149.92305,96.340767,42.549999,32.376934,22.789585,31.071747,40.492813,47.583794,56.201569,59.075859
"2005-10-13",123,87.48185,6.664074,17.956631,148.164642,94.283134,42.619999,32.247257,23.118374,31.153347,41.947403,46.767853,55.997135,58.977551
"2005-10-14",124,88.405617,6.696314,18.015057,147.517075,95.424408,43.790001,32.44899,23.344429,31.190426,41.737728,47.478287,55.910305,58.857403
"2005-10-17",125,88.733414,6.626871,17.912821,151.930527,97.507019,45.02,32.593075,23.289629,31.190426,41.279079,47.295406,55.897919,58.939335
"2005-10-18",126,87.7724,6.474344,17.942024,151.073746,97.540329,44.650002,32.513824,23.132074,30.834385,41.25943,47.210995,55.959888,59.015816
"2005-10-19",127,89.232529,6.812881,18.321753,153.773621,100.964127,45.860001,33.133419,23.789671,31.479696,42.143978,48.090233,55.984661,59.075859
"2005-10-20",128,87.660637,6.961688,18.102682,151.03389,99.12764,45.009998,32.852448,23.803368,31.301689,42.045692,47.337601,56.133392,58.928429
"2005-10-21",129,88.003319,6.902164,18.095381,169.315369,99.144348,45.950001,32.938877,24.063667,31.346178,41.980171,46.437275,56.6539,59.239681
"2005-10-24",130,89.366646,7.042291,18.329052,173.674026,102.925804,46.93,33.291916,24.495197,32.176956,41.999825,47.351677,56.213947,59.015816
"2005-10-25",131,89.187843,6.956728,18.277943,172.807281,103.134499,46.169998,32.701145,24.467812,32.02861,41.659115,47.105488,55.730637,58.726341
"2005-10-26",132,88.927124,7.072051,18.336355,177.056351,103.718849,39.75,32.838028,24.7281,32.043434,41.154598,45.790157,55.32169,58.551601
"2005-10-27",133,87.981018,6.871163,18.14649,175.870789,102.199547,39.060001,32.232845,24.680153,32.02861,40.256943,45.05162,55.519936,58.59531
"2005-10-28",134,89.247444,6.754598,18.643059,178.416245,103.977592,38.950001,32.780396,24.960999,32.621994,41.246319,46.169991,55.526157,58.59531
"2005-10-31",135,89.493271,7.141496,18.767199,185.375168,105.488487,39.860001,34.084404,25.084297,32.443981,41.030094,45.466606,55.631516,58.578899
"2005-11-01",136,89.761467,7.130335,18.957064,188.981644,105.680496,40.369999,33.853859,25.241848,32.354969,40.558331,45.755013,55.567394,58.558094
"2005-11-02",137,90.700127,7.434149,19.322184,189.131088,107.792427,40.75,34.264526,25.481596,32.696167,40.165195,45.508812,55.305984,58.442951
"2005-11-03",138,91.087494,7.669761,19.307579,192.254379,107.850853,41.560001,34.185272,25.40624,32.644245,40.099674,46.071522,54.932564,58.240116
"2005-11-04",139,90.968323,7.582957,19.468237,194.486023,109.320068,41.09,34.358189,25.556942,32.807423,39.890015,45.916794,54.845425,58.283947
"2005-11-07",140,91.057716,7.468873,19.723816,196.777435,107.809113,41.389999,34.617546,25.810389,32.978027,40.250393,46.205166,55.032124,58.344246
"2005-11-08",141,91.057716,7.427949,19.753025,194.222015,106.448471,41.950001,34.300541,25.577501,32.926121,39.817932,45.901558,55.567394,58.695148
"2005-11-09",142,91.176918,7.453991,19.687304,188.867081,107.433495,41.400002,34.725605,25.837793,33.037376,39.981743,45.689739,54.994797,58.38269
"2005-11-10",143,91.884651,7.586676,19.782238,194.819763,108.593826,42.18,35.330791,26.248779,33.601097,40.237274,46.671169,55.666985,58.689655
"2005-11-11",144,92.197502,7.63132,19.920984,194.471069,108.518677,42.68,35.30196,26.207676,33.719772,39.916218,46.141609,55.698105,58.739021
"2005-11-14",145,92.14537,7.620157,19.986704,197.743805,107.884254,42.529999,35.518097,26.118639,33.838459,39.647572,46.76297,55.281082,58.442951
"2005-11-15",146,91.810158,7.723082,20.140512,195.666595,106.82415,44.450001,35.143459,25.844631,33.564007,41.167702,47.306637,55.642063,58.596485
"2005-11-16",147,91.99633,8.05418,20.316271,198.331604,106.999413,45.299999,35.215504,25.899431,33.356323,41.44289,47.61729,56.227127,58.843132
"2005-11-17",148,92.853104,8.000856,20.48473,200.97171,108.860954,46.740002,35.474865,25.981638,33.630756,41.501862,47.765579,56.364071,58.941849
"2005-11-18",149,93.218109,8.005818,20.557966,199.357758,109.837578,47.98,35.662205,26.05014,33.793945,41.198879,47.271332,56.102631,58.826687
"2005-11-21",150,93.687477,8.055419,20.623878,203.91568,110.530441,47.990002,35.748642,25.906281,34.001648,40.83004,48.718754,56.270668,59.018566
"2005-11-22",151,94.089729,8.248869,20.44079,207.457397,110.689064,48.849998,36.1665,26.166586,34.194492,40.579735,48.789379,56.345398,59.128178
"2005-11-23",152,94.633583,8.322029,20.448107,210.640472,111.9245,48.240002,36.43306,26.563875,34.64698,40.619267,49.029449,56.127529,59.07341
"2005-11-25",153,94.708046,8.598564,20.330925,213.50972,111.957878,48.060001,36.375431,26.618671,34.85466,40.93541,48.761139,56.332916,59.150169
"2005-11-28",154,94.037605,8.638244,20.323601,210.94931,109.43692,48.349998,36.022419,26.646078,34.535706,41.100079,48.457512,56.613003,59.347469
"2005-11-29",155,93.933311,8.444796,20.272333,201.016541,108.894341,48.549999,35.30917,26.687176,34.698872,40.836613,48.810551,56.077721,59.07341
"2005-11-30",156,93.426727,8.410074,20.272333,201.69899,107.650558,48.459999,34.98497,26.200836,34.406487,40.671944,48.146847,56.015522,58.963745
"2005-12-01",157,94.380295,8.878819,20.426136,206.271835,108.752411,49,34.60313,26.420036,34.398972,40.632423,49.191849,55.927979,58.844387
"2005-12-02",158,94.499481,9.006543,20.514017,208.070099,109.420227,49.060001,34.559902,26.70772,34.586418,40.316277,49.029449,55.946758,58.860828
"2005-12-05",159,94.298325,8.906101,20.396837,202.167221,111.064705,48.830002,33.961929,26.611814,34.811337,40.210892,48.859982,55.696686,58.706799
"2005-12-06",160,94.477119,9.18263,20.279654,201.514679,109.612221,49.259998,34.307751,26.611814,34.721382,39.82888,49.121227,56.265568,58.827858
"2005-12-07",161,93.925858,9.170233,20.323601,201.35527,108.426826,48.830002,34.401398,26.351524,34.383968,39.545658,49.177708,56.053028,58.756313
"2005-12-08",162,93.866249,9.186352,20.279654,204.558258,107.383415,48.349998,34.365372,26.474829,34.323997,39.572006,49.474262,56.415577,58.87735
"2005-12-09",163,94.112099,9.217356,20.294308,203.835968,108.234848,48.740002,34.639153,26.796774,34.413967,39.585175,49.177708,55.971752,58.772839
"2005-12-12",164,94.201477,9.289274,20.103884,205.534607,108.526993,49.07,35.071423,26.817322,34.294003,39.618114,49.558987,55.865486,58.646297
"2005-12-13",165,94.842171,9.297958,19.869522,207.9655,109.887695,49.5,35.640568,26.995424,34.863827,39.683968,49.841419,56.071743,58.695789
"2005-12-14",166,95.214645,8.92966,19.840225,208.697754,108.209816,49.41,35.777878,27.091311,35.07375,39.591774,50.448662,56.646866,58.998425
"2005-12-15",167,94.939011,8.95074,19.715729,210.486053,107.099617,49.48,35.59721,27.111874,34.998783,39.624699,49.982628,56.509361,58.94886
"2005-12-16",168,94.633446,8.818055,19.701077,214.271851,105.597023,49.209999,35.604446,27.255716,35.216213,40.085758,49.954395,56.696869,59.19648
"2005-12-19",169,94.14666,8.85154,19.649803,211.507217,104.453384,48.369999,35.380413,27.125566,34.886326,40.303108,49.40366,56.753143,59.097473
"2005-12-20",170,94.236511,8.942061,19.671768,214.067627,105.062782,48.139999,35.120281,27.125566,35.006275,40.033066,49.947323,56.684353,59.146973
"2005-12-21",171,94.386292,9.114427,19.576571,212.368988,106.27317,48.970001,35.156414,27.283115,34.968796,40.09893,49.700218,56.584347,59.168983
"2005-12-22",172,94.880592,9.178913,19.47403,215.213333,106.840805,49.220001,35.120281,27.433798,35.178719,40.388725,50.356842,57.034389,59.174503
"2005-12-23",173,94.933029,9.095829,19.510656,214.6604,106.941002,49.220001,34.932388,27.536568,35.193714,40.250427,50.476871,57.384457,59.405613
"2005-12-27",174,93.966896,9.204951,19.37883,211.527145,107.066223,48.560001,34.49157,27.46805,34.908829,39.716908,49.799057,57.853336,59.67514
"2005-12-28",175,94.176605,9.123109,19.327566,212.548309,106.832481,48.060001,34.571056,27.33791,34.691372,39.795948,50.102661,57.691982,59.703339
"2005-12-29",176,93.757225,8.860221,19.23967,209.290527,106.865868,47.990002,34.310921,27.303658,34.631401,39.683968,50.258007,57.817513,59.543175
"2005-12-30",177,93.247948,8.914781,19.151787,206.655411,106.607086,47.150002,33.81953,27.187212,34.60141,39.585175,49.59428,57.685711,59.471382
"2006-01-03",178,94.888084,9.269435,19.657124,216.802368,107.575417,47.580002,33.407616,27.529718,35.298687,40.592922,49.735519,57.610397,59.797249
"2006-01-04",179,95.337463,9.296719,19.752342,221.788681,106.089539,47.25,33.472668,27.370821,34.923801,41.218643,50.25095,57.74847,59.797249
"2006-01-05",180,95.397354,9.223555,19.766989,224.777481,106.047821,47.650002,33.01738,27.453718,34.968796,41.04739,49.657848,57.679474,59.846939
"2006-01-06",181,96.191185,9.461646,19.708401,231.960556,107.550362,47.869999,33.154701,27.647156,34.916302,41.231812,48.965889,57.572731,59.753014
"2006-01-09",182,96.438316,9.43064,19.671768,232.578247,108.844261,47.080002,33.031841,28.096193,34.938789,41.488674,48.55637,57.610397,59.764076
"2006-01-10",183,96.535728,10.027112,19.774313,234.002899,110.213234,45.650002,33.140247,28.137646,34.646393,41.561138,48.789379,57.145924,59.60397
"2006-01-11",184,96.842743,10.40409,19.986706,234.934402,110.163185,44.93,33.65332,28.11692,34.563919,41.165951,49.495441,57.051754,59.504532
"2006-01-12",185,96.4608,10.452452,19.876842,230.949341,110.396919,44.360001,33.05352,27.598797,34.338993,40.974941,49.205971,57.434631,59.692284
"2006-01-13",186,96.370949,10.61366,19.913467,232.254456,111.239998,44.400002,32.807835,27.578066,34.338993,40.718067,49.057693,57.7673,59.869003
